seed,policy,steps,total_reward,valid_scenario,titan_success,spot_success,team_success,titan_failed,spot_failed,titan_wall_collision,spot_wall_collision,titan_robot_collision,spot_robot_collision,titan_tipped,spot_tipped,titan_goal_step,spot_goal_step,titan_final_goal_distance,spot_final_goal_distance,min_robot_distance,titan_action_mae,spot_action_mae
17,depth6_e,200,1238.3695327926173,True,False,True,False,True,False,True,False,False,False,True,False,,128,5.102725196766083,2.7243873157387233,1.6835625171661377,0.5152606159554968,0.4177512438105569
17,high_fidelity_e,200,1228.4274217598247,True,False,True,False,True,False,True,False,False,False,True,False,,107,5.102725196766083,1.2714675083987783,1.7648032903671265,0.5898219480297331,0.44811823889505686
18,ppo,81,61.33541120442676,True,False,False,False,True,True,True,False,False,True,True,False,,,4.786049992860627,6.179806399573393,1.309324860572815,,
18,depth4_e,83,68.00127007931353,True,False,False,False,True,True,True,False,False,True,True,False,,,4.784134756339546,6.123803611350456,1.309262990951538,0.4614993938396504,0.8973549045995031
18,depth6_e,25,9.270735999127528,True,False,False,False,True,True,False,False,True,True,False,False,,,6.265402604094176,6.826131306889802,0.9668675065040588,0.23414648015608375,0.7438762016323704
18,high_fidelity_e,46,54.31542993217866,True,False,False,False,True,True,True,False,False,True,False,False,,,4.927647923540971,6.120723159855739,1.3089485168457031,0.42029288055591335,0.6239359547121818
19,ppo,97,52.25510102792723,True,False,False,False,True,True,True,False,False,True,True,False,,,4.929087529222956,5.758905415358351,1.2912592887878418,,
19,depth4_e,91,63.25444250786895,True,False,False,False,True,True,True,False,False,True,True,False,,,4.945552769909638,6.101922513162552,1.4907196760177612,0.5230215391569399,0.9374975989288514
19,depth6_e,50,69.21521372069229,True,False,False,False,True,True,True,False,False,True,False,False,,,4.985967456266699,5.150178273988338,0.8159446120262146,0.21494621711773376,0.9605223017520323
19,high_fidelity_e,45,76.6488355431164,True,False,False,False,True,True,True,False,False,True,False,False,,,5.051193587353555,4.960815805401057,0.8030858039855957,0.2049125641478767,0.8992093317424606
20,ppo,57,59.75974013819839,True,False,False,False,True,True,True,False,False,True,False,False,,,5.4404974239692585,5.056766315870621,1.1507246494293213,,
20,depth4_e,96,69.77587229909744,True,False,False,False,True,True,True,False,False,True,True,False,,,5.412660013412947,5.548173079899341,1.460871934890747,0.41510621863243813,1.0620263856460685
20,depth6_e,43,49.73454554725235,True,False,False,False,True,True,True,False,False,True,False,False,,,5.552500525282837,5.35756490524853,1.2597295045852661,0.26785420669141635,0.923114816772406
20,high_fidelity_e,48,57.35760108524505,True,False,False,False,True,True,True,False,False,True,False,False,,,5.540727282916674,4.896096556285973,0.9745534658432007,0.270178597873956,0.9019314216124447
21,ppo,200,2318.9904563289247,True,True,True,True,True,False,True,False,False,False,False,False,136,109,3.951782308891169,1.5360762745184102,1.707660436630249,,
21,depth4_e,112,129.8522090959427,True,False,False,False,True,True,False,False,True,True,False,False,,,5.184092838575486,4.768241026922175,1.1235905885696411,0.7921398278367507,0.9674515373701774
21,depth6_e,200,1213.9236964568115,True,False,True,False,True,False,True,False,False,False,True,False,,126,4.583600671263671,2.5897006205501016,1.6956884860992432,0.6352069502811776,0.511012610098247
21,high_fidelity_e,151,91.95463890031321,True,False,False,False,True,True,True,False,False,True,True,False,,,4.618401321648195,6.208177845850364,1.393172264099121,0.6939500058724775,1.3435017093752997
22,ppo,78,54.996586571770635,True,False,False,False,True,True,True,False,False,True,True,False,,,5.018586574948703,5.08902304362114,0.9119942784309387,,
22,depth4_e,79,76.45851191785762,True,False,False,False,True,True,True,False,False,True,True,False,,,5.009894700356149,6.051964455005987,1.5317354202270508,0.42496883726664897,0.8122602659463177
22,depth6_e,49,70.19031887432544,True,False,False,False,True,True,True,False,False,True,False,False,,,5.094371288097845,5.0386705115118975,0.8200711011886597,0.18758500445505832,0.8317953182737396
22,high_fidelity_e,50,71.40702770200818,True,False,False,False,True,True,True,False,False,True,False,False,,,5.0736781908438235,4.932926265617686,0.8212287425994873,0.17407116824493968,0.7800224089325388
23,ppo,104,61.32764640331526,True,False,False,False,True,True,True,False,False,True,True,False,,,4.838344293405921,6.121093171711048,1.5521384477615356,,
23,depth4_e,52,51.599853758431564,True,False,False,False,True,True,True,False,False,True,False,False,,,4.967876305753172,6.236273539739373,1.5212007761001587,0.32629907170878253,0.6746445854803699
23,depth6_e,39,42.13770269078627,True,False,False,False,True,True,False,False,True,True,False,False,,,5.169263067819962,5.598161400295701,0.8867233395576477,0.1864613979113371,0.8077026149650798
23,high_fidelity_e,38,17.223161976303473,True,False,False,False,True,True,False,False,True,True,False,False,,,5.243107933123064,5.726304850767663,0.9346728324890137,0.18587065102429198,0.5343634477819104
24,ppo,200,1184.588844362533,True,False,True,False,True,False,True,False,False,False,True,False,,109,4.320628303938172,1.210572739223316,1.6948587894439697,,
24,depth4_e,117,133.55456269446037,True,False,False,False,True,True,False,False,True,True,False,False,,,4.510344412343272,5.420468892329841,1.187537670135498,0.8242611996246262,1.096047208675
24,depth6_e,127,149.65336369978337,True,False,False,False,True,True,False,False,True,True,False,False,,,4.684616417346093,5.427976833945381,1.0951868295669556,0.8118912746414398,1.0393967027089515
24,high_fidelity_e,123,133.2903898886031,True,False,False,False,True,True,False,False,True,True,False,False,,,4.972569721280756,5.166514133168397,1.1775106191635132,0.8420658060276695,1.0984015280727244
25,ppo,41,39.21743842651584,True,False,False,False,True,True,True,False,False,True,False,False,,,5.422663987059148,5.778794024287283,1.5657178163528442,,
25,depth4_e,85,60.75195245809523,True,False,False,False,True,True,True,False,False,True,True,False,,,5.286163891028234,5.58329515619297,1.4409313201904297,0.561371837070993,0.9108277137771615
25,depth6_e,42,38.74154237148332,True,False,False,False,True,True,True,False,False,True,False,False,,,5.42082897480792,5.752470459054728,1.463938593864441,0.3718780310803646,0.4460790970291849
25,high_fidelity_e,40,29.016035329611462,True,False,False,False,True,True,True,False,True,True,False,False,,,5.418895319175638,5.483606848341065,1.2834924459457397,0.40077253339008057,1.0503169746936272
26,ppo,94,49.63072035228316,True,False,False,False,True,True,True,False,False,True,True,False,,,4.789272612359054,6.190226684958404,1.168116807937622,,
26,depth4_e,90,68.61344771854259,True,False,False,False,True,True,True,False,False,True,True,False,,,4.781259196528224,6.119665105467299,1.1679474115371704,0.4556211190546044,1.0017148766329813
26,depth6_e,31,4.473772213562807,True,False,False,False,True,True,False,False,True,True,False,False,,,5.912003315616123,6.594584426045538,1.0630381107330322,0.27933417561943097,0.6845923710387668
26,high_fidelity_e,38,-12.908278170869407,True,False,False,False,True,True,False,False,True,True,False,False,,,5.372839099160136,5.92449786780632,1.0060909986495972,0.286356394938134,0.8623028236800471
27,ppo,200,30.468846028774387,True,False,False,False,True,False,True,False,False,False,True,False,,,4.312321961796512,6.861030476622006,1.5718152523040771,,
