seed,policy,steps,total_reward,valid_scenario,titan_success,spot_success,team_success,titan_failed,spot_failed,titan_wall_collision,spot_wall_collision,titan_robot_collision,spot_robot_collision,titan_tipped,spot_tipped
41,high_fidelity_e,75,90.010091505999,True,False,False,False,True,True,False,False,False,False,False,False
42,ppo,74,74.97007320870938,True,False,False,False,True,True,True,False,False,False,True,False
42,depth4_e,99,75.47252876479384,True,False,False,False,True,True,True,False,False,False,True,False
42,depth6_e,37,36.57332979733626,True,False,False,False,True,True,False,False,False,False,False,False
42,high_fidelity_e,35,38.83225385203983,True,False,False,False,True,True,False,False,False,False,False,False
43,ppo,200,10.43404479774006,True,False,False,False,True,False,True,False,False,False,True,False
43,depth4_e,57,65.66486587129104,True,False,False,False,True,True,True,False,False,False,True,False
43,depth6_e,54,70.8850506903374,True,False,False,False,True,True,True,False,False,False,True,False
43,high_fidelity_e,47,66.42565733474376,True,False,False,False,True,True,True,False,False,False,False,False
44,ppo,124,50.51613309754417,True,False,False,False,True,True,True,False,False,False,True,False
44,depth4_e,97,75.41275719602083,True,False,False,False,True,True,True,False,False,False,True,False
44,depth6_e,36,24.329326587249007,True,False,False,False,True,True,False,False,False,False,False,False
44,high_fidelity_e,34,26.797342589137685,True,False,False,False,True,True,False,False,False,False,False,False
45,ppo,200,22.67721884275747,True,False,False,False,True,False,True,False,False,False,True,False
45,depth4_e,70,66.21020129613122,True,False,False,False,True,True,True,False,False,False,True,False
45,depth6_e,51,90.66908268435569,True,False,False,False,True,True,True,False,False,False,False,False
45,high_fidelity_e,45,68.3531912455191,True,False,False,False,True,True,False,False,False,False,False,False
46,ppo,94,60.00885914939108,True,False,False,False,True,True,True,False,False,False,True,False
46,depth4_e,59,76.31963003025417,True,False,False,False,True,True,True,False,False,False,True,False
46,depth6_e,48,87.70766709540669,True,False,False,False,True,True,True,False,False,False,False,False
46,high_fidelity_e,48,89.52140880357729,True,False,False,False,True,True,True,False,False,False,False,False
47,ppo,200,2332.370743382049,True,True,True,True,True,False,True,False,False,False,False,False
47,depth4_e,200,1181.8732727698514,True,False,True,False,True,False,True,False,False,False,False,False
47,depth6_e,100,95.02084273353483,True,False,False,False,True,True,False,False,False,False,False,False
47,high_fidelity_e,200,1190.379451737201,True,False,True,False,True,False,True,False,False,False,True,False
48,ppo,72,83.15457967688855,True,False,False,False,True,True,True,False,False,False,True,False
48,depth4_e,109,64.53637491615171,True,False,False,False,True,True,True,False,False,False,True,False
48,depth6_e,51,58.80096253446958,True,False,False,False,True,True,True,False,False,False,False,False
48,high_fidelity_e,56,65.34343562779578,True,False,False,False,True,True,True,False,False,False,False,False
49,ppo,58,63.92909207971916,True,False,False,False,True,True,True,False,False,False,False,False
49,depth4_e,56,56.11299517391129,True,False,False,False,True,True,True,False,False,False,False,False
49,depth6_e,44,58.78300039922921,True,False,False,False,True,True,True,False,False,False,False,False
49,high_fidelity_e,43,58.44421472496218,True,False,False,False,True,True,True,False,False,False,False,False
